Accession,Organism,Group
Personal communication Van Eyned et al.,Crangon flavi-like virus,Marine
MK473878.1,Crangon crangon flavivirus,Marine
MK473877.1,Gammarus chevreuxi flavivirus,Freshwater
Conway et al.,Endeis spinosa EVE,Marine
NC_033721.1,Meaban virus,TBFV
NC_031327,Anopheles flavivirus variant 1,ISFV
MF352616.1,Mac Peak virus,ISFV
KX245154,Cuacua virus,ISFV
ACV04605,Nakiwogo virus,ISFV
AGG76014,Palm Creek virus,ISFV
YP_009041466,Nienokoue virus,ISFV
KC464457,Mosquito flavivirus,ISFV
NC_012671,Quang Binh virus,ISFV
BAM74427,Culex flavivirus,ISFV
NC_034204,Menghai flavivirus,ISFV
KU201526,Xishuangbanna aedes flavivirus,ISFV
AIM49244,Aedes flavivirus,ISFV
NP_891560,Kamiti River virus,ISFV
AIM49245,Cell fusing agent virus,ISFV
KY345399,Ochlerotatus caspius flavivirus,ISFV
AEY84723,Hanko virus,ISFV
NC_027817,Parramatta River virus,ISFV
NC_030290,Culiseta flavivirus,ISFV
NC_027819,Mercadeo virus,ISFV
AAX82481,Alfuy virus,MBFV
NP_051124,Murray Valley encephalitis virus,MBFV
AIN76232,Usutu virus,MBFV
ABU94629,Japanese encephalitis virus,MBFV
ABW76844,Koutango virus,MBFV
BAA00176,Kunjin virus,MBFV
AIQ82561,West Nile virus,MBFV
YP_009126874,Cacipacore virus,MBFV
ABC87765,St. Louis encephalitis virus,MBFV
AGJ84083,Ilheus virus,MBFV
AAV34158,Rocio virus,MBFV
YP_002790883,Bagaza virus,MBFV
AGV15509,Israel turkey meningoencephalomyelitis virus,MBFV
AIU94743,Ntaya virus,MBFV
AFP95929,Sitiawan virus,MBFV
AIX09855,Tembusu virus,MBFV
AIU94739,Aroa virus,MBFV
AAV34154,Iguape virus,MBFV
AAV34152,Bussuquara virus,MBFV
AIU94742,Naranjal virus,MBFV
AAV34156,Kedougou virus,MBFV
ABI54480,Spondweni virus,MBFV
YP_002790881,Zika virus,MBFV
AIJ19433,Bainyik virus,MBFV
YP_001040007,Kokobera virus,MBFV
AIJ19432,Stratford virus,MBFV
AIJ19434,Torres virus,MBFV
AGI03959,New Mapoon virus,MBFV
AHF50490,Dengue virus 1,MBFV
AHL17465,Dengue virus 3,MBFV
AGX15374,Dengue virus 2,MBFV
AHN50410,Dengue virus 4,MBFV
AFD50747,Chaoyang virus,ISFV
YP_009056848,Lammi virus,ISFV
AHF70999,Ilomantsi virus,ISFV
AHW82954,Nhumirim virus,ISFV
AGS41451,Barkedji virus,ISFV
ACN73462,Nounane virus,ISFV
ABI54472,Banzi virus,MBFV
ABI54481,Uganda S virus,MBFV
ABI54482,Jugra virus,MBFV
ABI54483,Potiskum virus,MBFV
ABI54478,Saboya virus,MBFV
ABI54473,Bouboui virus,MBFV
ABI54476,Edge Hill virus,MBFV
YP_950478,Sepik virus,MBFV
YP_002922020,Wesselsbron virus,MBFV
NP_041726,Yellow fever virus,MBFV
YP_950477,Entebbe bat virus,NKV
YP_009126875,Sokoluk virus,NKV
NP_872627,Yokose virus,NKV
NP_722551,Alkhumra hemorrhagic fever virus,TBFV
ACA50033,Kyasanur forest disease virus,TBFV
ABB90677,Greek goat encephalitis virus,TBFV
ABB90675,Turkish sheep encephalitis virus,TBFV
AGN32859,Louping ill virus,TBFV
ABB90676,Spanish sheep encephalitis virus,TBFV
NP_043135,Tick-borne encephalitis virus,TBFV
NP_878909,Omsk hemorrhagic fever virus,TBFV
